                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65502,                      1,                      1,                0.56592,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                0.45721,                      1,                      1,                0.41919,             7.6985e-05,             7.6985e-05,             7.6985e-05
                      3,                0.20859,                      1,                      1,                 0.3457,             0.00011657,             0.00011657,             0.00011657
                      4,                0.13318,                      1,                      1,                0.32715,             0.00015447,             0.00015447,             0.00015447
                      5,                0.08512,                      1,                      1,                 0.3186,             0.00019066,             0.00019066,             0.00019066
                      6,                 0.0394,                      1,                      1,                0.31543,             0.00022516,             0.00022516,             0.00022516
                      7,                0.02137,                      1,                      1,                0.31396,             0.00025796,             0.00025796,             0.00025796
                      8,                0.11632,                      1,                      1,                0.31372,             0.00028907,             0.00028907,             0.00028907
                      9,                0.00701,                      1,                      1,                0.31348,             0.00031848,             0.00031848,             0.00031848
                     10,                0.02105,                      1,                      1,                0.31348,             0.00034619,             0.00034619,             0.00034619
                     11,                0.01161,                      1,                      1,                0.31348,             0.00037221,             0.00037221,             0.00037221
                     12,                 0.0053,                      1,                      1,                0.31348,             0.00039653,             0.00039653,             0.00039653
                     13,                0.00284,                      1,                      1,                0.31348,             0.00041915,             0.00041915,             0.00041915
                     14,                0.00407,                      1,                      1,                0.31348,             0.00044008,             0.00044008,             0.00044008
                     15,                0.00663,                      1,                      1,                0.31348,             0.00045931,             0.00045931,             0.00045931
                     16,                0.00428,                      1,                      1,                0.31348,             0.00047684,             0.00047684,             0.00047684
                     17,                0.00713,                      1,                      1,                0.31348,              0.0004878,              0.0004878,              0.0004878
                     18,                0.00184,                      1,                      1,                0.31348,             0.00047367,             0.00047367,             0.00047367
                     19,                0.00208,                      1,                      1,                0.31348,             0.00045953,             0.00045953,             0.00045953
                     20,                0.00673,                      1,                      1,                0.31348,             0.00044539,             0.00044539,             0.00044539
                     21,                0.00483,                      1,                      1,                0.31348,             0.00043126,             0.00043126,             0.00043126
                     22,                0.00148,                      1,                      1,                0.31348,             0.00041712,             0.00041712,             0.00041712
                     23,                0.00085,                      1,                      1,                0.31348,             0.00040298,             0.00040298,             0.00040298
                     24,                0.00167,                      1,                      1,                0.31323,             0.00038884,             0.00038884,             0.00038884
                     25,                0.00173,                      1,                      1,                0.31323,             0.00037471,             0.00037471,             0.00037471
                     26,                0.00104,                      1,                      1,                0.31323,             0.00036057,             0.00036057,             0.00036057
                     27,                0.00258,                      1,                      1,                0.31348,             0.00034643,             0.00034643,             0.00034643
                     28,                0.00058,                      1,                      1,                0.31323,              0.0003323,              0.0003323,              0.0003323
                     29,                0.00086,                      1,                      1,                0.31323,             0.00031816,             0.00031816,             0.00031816
                     30,                0.00073,                      1,                      1,                0.31323,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.0007,                      1,                      1,                0.31323,             0.00028988,             0.00028988,             0.00028988
                     32,                0.00034,                      1,                      1,                0.31323,             0.00027575,             0.00027575,             0.00027575
                     33,                0.00101,                      1,                      1,                0.31323,             0.00026161,             0.00026161,             0.00026161
                     34,                0.00077,                      1,                      1,                0.31323,             0.00024747,             0.00024747,             0.00024747
                     35,                 0.0063,                      1,                      1,                0.31323,             0.00023334,             0.00023334,             0.00023334
                     36,                0.00323,                      1,                      1,                0.31323,              0.0002192,              0.0002192,              0.0002192
                     37,                0.00333,                      1,                      1,                0.31323,             0.00020506,             0.00020506,             0.00020506
                     38,                0.00139,                      1,                      1,                0.31323,             0.00019092,             0.00019092,             0.00019092
                     39,                0.00457,                      1,                      1,                0.31323,             0.00017679,             0.00017679,             0.00017679
                     40,                0.00051,                      1,                      1,                0.31323,             0.00016265,             0.00016265,             0.00016265
                     41,                0.00066,                      1,                      1,                0.31323,             0.00014851,             0.00014851,             0.00014851
                     42,                0.00024,                      1,                      1,                0.31323,             0.00013437,             0.00013437,             0.00013437
                     43,                0.00089,                      1,                      1,                0.31323,             0.00012024,             0.00012024,             0.00012024
                     44,                0.00248,                      1,                      1,                0.31323,              0.0001061,              0.0001061,              0.0001061
                     45,                0.00064,                      1,                      1,                0.31323,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.00085,                      1,                      1,                0.31323,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.00097,                      1,                      1,                0.31323,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.00074,                      1,                      1,                0.31323,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.00053,                      1,                      1,                0.31323,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.00064,                      1,                      1,                0.31323,             2.1277e-05,             2.1277e-05,             2.1277e-05
